29164731;Bicanga;Serra;Rua Goiás;ES
29164732;Bicanga;Serra;Rua dos Colibris;ES
29164745;Bicanga;Serra;Rua Alegre;ES
29164747;Bicanga;Serra;Avenida Meridional;ES
29164750;Bicanga;Serra;Rua Cândido Portinari;ES
29164751;Bicanga;Serra;Rua Lasar Segall;ES
29164752;Bicanga;Serra;Rua Carybé;ES
29164753;Bicanga;Serra;Rua Anita Malfatti;ES
29164754;Bicanga;Serra;Rua Alfredo Volpi;ES
29164755;Bicanga;Serra;Rua Iberê Camargo;ES
29164756;Bicanga;Serra;Rua Tarsila do Amaral;ES
29164757;Bicanga;Serra;Rua Di Cavalcanti;ES
29164758;Bicanga;Serra;Rua Levino Fanzeres;ES
29164759;Bicanga;Serra;Rua Lygia Clark;ES
29164761;Bicanga;Serra;Rua Roberto Burle Marx;ES
29164762;Bicanga;Serra;Rua Almeida Junior;ES
29164764;Bicanga;Serra;Rua Manuel de Araújo Porto-Alegre;ES
29164765;Bicanga;Serra;Rua Pedro Américo;ES
29164766;Bicanga;Serra;Rua Benedito Calixto;ES
29164767;Bicanga;Serra;Rua Hélio Oiticica;ES
29164782;Bicanga;Serra;Rua Hawaí;ES
29164783;Bicanga;Serra;Rua Felipe Xavier;ES
29164784;Bicanga;Serra;Rua Goiânia;ES
29164785;Bicanga;Serra;Rua Pernambuco;ES
29164787;Bicanga;Serra;Rua Brasília;ES
29164788;Bicanga;Serra;Rua Morada Verde;ES
29164789;Bicanga;Serra;Rua Amapá;ES
29164790;Bicanga;Serra;Rua Acre;ES
29164791;Bicanga;Serra;Rua Amazonas;ES
29164792;Bicanga;Serra;Rua São Francisco;ES
29164793;Bicanga;Serra;Beco Rio Grande do Sul;ES
29164795;Bicanga;Serra;Rua Gutemberg;ES
29164796;Bicanga;Serra;Avenida Curitiba;ES
29164797;Bicanga;Serra;Rua Rio Grande do Sul;ES
29164798;Bicanga;Serra;Rua Santa Catarina;ES
29164799;Bicanga;Serra;Rua Espírito Santo;ES
29164800;Bicanga;Serra;Avenida Beira Mar;ES
29164801;Bicanga;Serra;Rua Minas Gerais;ES
29164802;Bicanga;Serra;Rua Bahia;ES
29164803;Bicanga;Serra;Rua São Paulo;ES
29164804;Bicanga;Serra;Rua Santo Antônio;ES
29164805;Bicanga;Serra;Rua Paraná;ES
29164806;Bicanga;Serra;Rua Santa Rosa de Lima;ES
29164807;Bicanga;Serra;Rua Rio de Janeiro;ES
29164810;Bicanga;Serra;Rua Belo Horizonte;ES
29164811;Bicanga;Serra;Rua Rio Grande do Norte;ES
29164812;Bicanga;Serra;Rua Maranhão;ES
29164814;Bicanga;Serra;Rua Alagoas;ES
29164815;Bicanga;Serra;Rua Guanabara;ES
29164817;Bicanga;Serra;Avenida Bicanga;ES
29172600;Castelândia;Serra;Rua Ralph Brememkamp Cunha Lima - lado par;ES
29172602;Castelândia;Serra;Rua Romênia - lado par;ES
29172610;Castelândia;Serra;Avenida Raul Leão Castello;ES
29172611;Castelândia;Serra;Rua P;ES
29172612;Castelândia;Serra;Rua R - lado par;ES
29172614;Castelândia;Serra;Rua Terezinha Grechi Basílio;ES
29172615;Castelândia;Serra;Rua Miguel Leão;ES
29172616;Castelândia;Serra;Rua H;ES
29172617;Castelândia;Serra;Rua B - lado ímpar;ES
29172619;Castelândia;Serra;Travessa Lourival Ribeiro Pimentel;ES
29172620;Castelândia;Serra;Avenida Rômulo Castello;ES
29172622;Castelândia;Serra;Rua K;ES
29172623;Castelândia;Serra;Avenida São Pedro;ES
